,0
0,Partly Cloudy
1,Mostly Cloudy
2,Overcast
3,Foggy
4,Breezy and Mostly Cloudy
5,Clear
6,Breezy and Partly Cloudy
7,Breezy and Overcast
8,Humid and Mostly Cloudy
9,Humid and Partly Cloudy
10,Windy and Foggy
11,Windy and Overcast
12,Breezy and Foggy
13,Windy and Partly Cloudy
14,Breezy
15,Dry and Partly Cloudy
16,Windy and Mostly Cloudy
17,Dangerously Windy and Partly Cloudy
18,Dry
19,Windy
20,Humid and Overcast
21,Light Rain
22,Drizzle
23,Windy and Dry
24,Dry and Mostly Cloudy
25,Breezy and Dry
26,Rain
